prefix	input_text	target_text
translate Coptic to English	ϥⲥⲟⲟⲩⲛ ⲅⲁⲣ ϫⲓⲛⲧⲉⲛⲟⲩ ⲛⲧⲁϩⲓⲏ ⲁϥⲇⲟⲕⲓⲙⲁⲍⲉ ⲙⲙⲟⲓ ⲛⲧϩⲉ ⲙⲡⲛⲟⲩⲃ	For he knows already my way; and he has tried me as gold.
translate Coptic to English	ⲡⲉϫⲉⲓⲁⲕⲱⲃ ⲇⲉ ⲛⲗⲁⲃⲁⲛ ϫⲉⲙⲁ ⲛⲁⲓ ⲛⲧⲁⲥϩⲓⲙⲉ ⲁⲛⲉϩⲟⲟⲩ ⲅⲁⲣ ϫⲱⲕ ⲉⲃⲟⲗ ϫⲉⲉⲓⲉⲃⲱⲕ ⲉϩⲟⲩⲛ ϣⲁⲣⲟⲥ	And Jacob said to Laban, Give me my wife, for my days are fulfilled, that I may go in to her.
translate Coptic to English	ⲁⲩⲱ ⲥⲁⲟⲩⲗ ⲁϥϭⲱⲛⲧ ⲉⲙⲁⲧⲉ ϩⲛⲟⲩⲟⲣⲅⲏ ⲉⲓⲱⲛⲁⲑⲁⲛ ⲡⲉϫⲁϥ ⲉϩⲟⲩⲛ ⲉϩⲣⲁϥ ϫⲉⲡϣⲏⲣⲉ ⲛⲛⲉϩⲓⲟⲙⲉ ⲉⲧⲛⲏϫ ⲉⲃⲟⲗ ⲙⲏ ⲛϯⲥⲟⲟⲩⲛ ⲅⲁⲣ ⲁⲛ ϫⲉⲛⲧⲟⲕ ⲕⲟ ⲛϣⲃⲏⲣ ⲉⲡϣⲏⲣⲉ ⲛⲓⲉⲥⲥⲁⲓ ⲉⲩϣⲓⲡⲉ ⲛⲁⲕ ⲁⲩⲱ ⲉⲩϣⲓⲡⲉ ⲙⲡϭⲱⲗⲡ ⲉⲃⲟⲗ ⲛⲧⲉⲕⲙⲁⲁⲩ	And Saul was exceedingly angry with Jonathan, and said to him, Thou son of traitorous damsels! for do I not know that thou art an accomplice with the son of Jessae to thy same, and to the shame of thy mother's nakedness?
translate Coptic to English	ⲁⲩⲱ ⲥⲉⲛⲁⲕⲧⲟⲟⲩ ⲛϭⲓⲛⲧⲟϣ ⲉⲡⲥⲁ ⲙⲡⲉⲙϩⲓⲧ ⲉϩⲣⲁⲓ ⲉϫⲛⲁⲙⲱⲑ ⲁⲩⲱ ⲡⲉⲩⲉⲓ ⲉⲃⲟⲗ ⲉϥⲛⲁϣⲱⲡⲉ ⲉϫⲛⲅⲉⲫⲏⲗ	And the borders shall come round northward to Amoth, and their going out shall be at Gaephael,
translate Coptic to English	ⲡⲁⲓ ⲡⲉ ⲡϩⲟⲟⲩ ⲉⲛⲧⲁⲡϫⲟⲉⲓⲥ ⲧⲁⲙⲓⲟϥ ⲙⲁⲣⲛⲥⲱⲟⲩϩ ⲛⲧⲛⲧⲉⲗⲏⲗ ⲛⲧⲛⲟⲩⲛⲟϥ ⲛϩⲏⲧϥ	This is the day which the Lord has made: let us exult and rejoice in it.
translate English to Coptic	Dost thou not know that thou art an only son,	ⲛⲅⲥⲟⲟⲩⲛ ⲁⲛ ϫⲉⲛⲧⲕⲟⲩϣⲏⲣⲉ
translate Coptic to English	ⲉⲓⲥⲥⲉ ⲛⲣⲟⲙⲡⲉ ⲙⲡⲉⲛⲛⲁⲩ ⲉⲣⲱⲙⲉ ⲉⲓⲙⲏⲧⲓ ⲛⲧⲟⲕ ⲙⲁⲩⲁⲁⲕ ·	Behold, for six years we have seen no man except thyself.'
translate Coptic to English	ⲥⲱⲧⲙ ⲇⲉ ⲉⲣⲟⲓ ⲉⲛⲉⲧⲓϫⲱ ⲙⲙⲟⲟⲩ ⲛⲁⲕ ⲁⲩⲱ ϯⲛⲁϫⲱ ⲛⲁⲕ ⲛⲛⲉⲛⲧⲁⲓⲛⲁⲩ ⲉⲣⲟⲟⲩ	But I will tell thee, hearken to me; I will tell thee now what I have seen;
translate English to Coptic	And Apa Victor said unto him,	ⲡⲉϫⲉⲁⲡⲁ ⲃⲓⲕⲧⲱⲣ
translate English to Coptic	The trees of the plain shall be full of sap; even the cedars of Libanus which he has planted.	ⲥⲉⲛⲁⲥⲉⲓ ⲛϭⲓⲛϣⲏⲛ ⲛⲧⲥⲱϣⲉ ⲛⲕⲉⲇⲣⲟⲥ ⲙⲡⲗⲓⲃⲁⲛⲟⲥ ⲉⲛⲧⲁⲧⲟϭⲟⲩ
