Book Category,Book Name,Chapter,Verse,Translation,Number
sahidic-old-testament,09_I Samuel_9,9,ⲛⲉⲩⲛ ⲟⲩⲣⲱⲙⲉ ⲇⲉ ⲉⲃⲟⲗ ϩⲛⲛⲉϣⲏⲣⲉ ⲛⲃⲉⲛⲓⲁⲙⲓⲛ ⲉⲡⲉϥⲣⲁⲛ ⲡⲉ ϭⲓⲥ ⲡϣⲏⲣⲉ ⲛⲁⲃⲓⲏⲗ ⲡϣⲏⲣⲉ ⲛⲁⲑⲉⲗ ⲡϣⲏⲣⲉ ⲛⲃⲁⲭⲓⲑ ⲡϣⲏⲣⲉ ⲛⲁⲫⲉⲕⲡϣⲏⲣⲉ ⲛⲟⲩⲣⲱⲙⲉ ⲛⲓⲉⲙⲓⲛⲁⲓⲟⲥ ⲟⲩⲣⲱⲙⲉ ⲛⲇⲩⲛⲁⲧⲟⲥ,"And there was a man of the sons of Benjamin, and his name was Kis, the son of Abiel, the son of Jared, the son of Bachir, the son of Aphec, the son of a Benjamite, a man of might.",1
sahidic-old-testament,09_I Samuel_9,9,ⲁⲩⲱ ⲡⲁⲓ ⲛⲉⲟⲩⲛⲧϥ ⲟⲩϣⲏⲣⲉ ⲙⲙⲁⲩ ⲉⲡⲉϥⲣⲁⲛ ⲡⲉ ⲥⲁⲟⲩⲗ ⲉⲩⲣⲱⲙⲉ ⲡⲉ ⲉϥϫⲟⲥⲉ ϩⲛⲧⲉϥϭⲟⲧ ⲛⲁⲅⲁⲑⲟⲥ ⲁⲩⲱ ⲛⲉⲙⲛ ⲗⲁⲁⲩ ϩⲛⲛⲉϣⲏⲣⲉ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲉⲛⲁⲛⲟⲩϥ ⲉⲣⲟϥ,"And this man had a son, and his name was Saul, of great stature, a goodly man; and there was not among the sons of Israel a goodlier than he, high above all the people from his shoulders and upward.",2
sahidic-old-testament,09_I Samuel_9,9,ⲁⲩⲱ ⲛⲉⲟⲟⲩ ⲛϭⲓⲥ ⲡⲉⲓⲱⲧ ⲛⲥⲁⲟⲩⲗ ⲁⲩⲥⲱⲣⲙ ϭⲓⲥ ⲇⲉ ⲡⲉⲓⲱⲧ ⲛⲥⲁⲟⲩⲗ ⲡⲉϫⲁϥ ⲛⲥⲁⲟⲩⲗ ⲡⲉϥϣⲏⲣⲉ ϫⲉϫⲓ ⲛⲙⲙⲁⲕ ⲛⲟⲩⲁ ⲛⲛⲉϩⲙϩⲁⲗ ⲛⲧⲉⲧⲛⲧⲱⲟⲩⲛ ⲛⲧⲉⲧⲛⲃⲱⲕ ⲛⲧⲉⲧⲛϣⲓⲛⲉ ⲛⲥⲁⲛⲉⲟⲟⲩ,"And the asses of Kis the father of Saul were lost; and Kis said to Saul his son, Take with thee one of the young men, and arise ye, and go seek the asses.",3
sahidic-old-testament,09_I Samuel_9,9,ⲁⲩⲱ ⲁϥⲃⲱⲕ ⲉⲃⲟⲗ ϩⲙⲡⲧⲟⲟⲩ ⲛⲉⲫⲣⲁⲓⲙ ⲁⲩⲱ ⲟⲛ ⲁⲩⲃⲱⲕ ⲉⲃⲟⲗ ϩⲙⲡⲕⲁϩ ⲛⲥⲉⲗⲭⲁ ⲙⲡⲟⲩϩⲉ ⲉⲣⲟⲟⲩ ⲁⲩⲱ ⲟⲛ ⲁⲩⲃⲱⲕ ⲉⲃⲟⲗ ϩⲙⲡⲕⲁϩ ⲛⲉⲥⲁⲕⲓⲙ ⲙⲡⲟⲩϩⲉ ⲉⲣⲟⲟⲩ,"And they went through mount Ephraim, and they went through the land of Selcha, and found them not: and they passed through the land of Segalim, and they were not there: and they passed through the land of Jamin, and found them not.",4
sahidic-old-testament,09_I Samuel_9,9,ⲛⲧⲟⲟⲩ ⲇⲉ ⲛⲧⲉⲣⲟⲩⲉⲓ ⲉⲡⲕⲁϩ ⲛⲥⲓⲫ ⲡⲉϫⲉⲥⲁⲟⲩⲗ ⲙⲡⲉϥϩⲙϩⲁⲗ ⲉⲧⲛⲙⲙⲁϥ ϫⲉⲁⲙⲟⲩ ⲛⲧⲉⲛⲕⲧⲟⲛ ⲛⲧⲉⲛⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲡⲉⲛⲙⲁ ⲙⲏⲡⲱⲥ ⲛⲧⲉⲡⲁⲉⲓⲱⲧ ⲗⲟ ⲉϥϥⲓ ⲣⲟⲟⲩϣ ϩⲁⲛⲉⲟⲟⲩ ⲛϥϥⲓ ⲣⲟⲟⲩϣ ⲉⲧⲃⲏⲏⲧⲛ,"And when they came to Siph, then Saul said to his young man that was with him, Come and let us return, lest my father leave the asses, and take care for us.",5
sahidic-old-testament,09_I Samuel_9,9,ⲡϩⲙϩⲁⲗ ⲇⲉ ⲡⲉϫⲁϥ ⲛⲁϥ ϫⲉⲉⲓⲥⲡⲣⲱⲙⲉ ⲙⲡⲛⲟⲩⲧⲉ ϩⲛⲧⲉⲓⲡⲟⲗⲓⲥ ⲁⲩⲱ ⲡⲣⲱⲙⲉ ⲉⲧⲙⲙⲁⲩ ϥⲛⲟⲉⲓ ⲛϩⲱⲃ ⲛⲓⲙ ⲁⲩⲱ ϣⲁϫⲉ ⲛⲓⲙ ⲛϣⲁϥϫⲟⲟⲩ ϣⲁⲩϣⲱⲡⲉ ⲧⲉⲛⲟⲩ ϭⲉ ⲙⲁⲣⲟⲛ ⲛⲁϥ ϫⲉⲕⲁⲥ ⲉϥⲉⲧⲁⲙⲟⲛ ⲉⲡⲧⲱϣ ⲛⲧⲉⲛϩⲓⲏ ⲉⲧⲉⲛⲛⲁⲃⲱⲕ ⲉⲣⲟⲥ,"And the young man said to him, Behold now, there is a man of God in this city, and the man is of high repute; all that he shall speak will surely come to pass: now then let us go, that he may tell us our way on which we have set out.",6
sahidic-old-testament,09_I Samuel_9,9,ⲥⲁⲟⲩⲗ ⲇⲉ ⲡⲉϫⲁϥ ⲙⲡⲉϥϩⲙϩⲁⲗ ⲉⲧⲛⲙⲙⲁϥ ϫⲉⲉⲓⲥϩⲏⲏⲧⲉ ϩⲏ ⲁⲛⲃⲱⲕ ⲟⲩ ⲡⲉⲧⲉⲛⲛⲁⲧⲁⲁϥ ⲙⲡⲣⲱⲙⲉ ⲙⲡⲛⲟⲩⲧⲉ ϫⲉⲛⲉⲟⲉⲓⲕ ⲁⲩⲟⲩⲱ ⲉⲃⲟⲗ ϩⲛⲛⲛⲥⲕⲏⲩⲉ ⲁⲩⲱ ⲙⲛϭⲉⲗⲁⲁⲩ ⲛϩⲟⲩⲟ ⲛⲧⲟⲟⲧⲛ ⲉⲧⲣⲉⲛϫⲓⲧϥ ⲉⲣⲁⲧϥ ⲙⲡⲣⲱⲙⲉ ⲙⲡⲛⲟⲩⲧⲉ,"And Saul said to his young man that was with him, Lo, then, we will go; but what shall we bring the man of God? for the loaves are spent out of our vessels, and we have nothing more with us that belongs to us to bring to the man of God.",7
sahidic-old-testament,09_I Samuel_9,9,ⲡϩⲙϩⲁⲗ ⲇⲉ ⲁϥⲟⲩⲱϩ ⲉⲧⲟⲟⲧϥ ⲁϥⲣⲟⲩⲱ ϩⲁⲣⲱϥ ⲛⲥⲁⲟⲩⲗ ϫⲉⲉⲓⲥϩⲏⲏⲧⲉ ⲁⲓϭⲓⲛⲉ ⲛⲟⲩϭⲓⲥⲕⲓⲧⲉ ⲛⲥⲁⲧⲉⲉⲣⲉ ⲛϩⲁⲧ ϩⲛⲧⲁϭⲓϫ ⲉⲕⲉϫⲓⲧⲥ ⲛⲅⲧⲁⲁⲥ ⲙⲡⲣⲱ .,"And the young man answered Saul again, and said, Behold, there is found in my hand a fourth part of a shekel of silver; and thou shalt give it to the man of God, and he shall tell us our way.",8
sahidic-old-testament,09_I Samuel_9,9,ϫⲓⲛⲉϣⲟⲣⲡ ⲇⲉ ϩⲙⲡⲓⲥⲣⲁⲏⲗ ⲛⲁⲓ ⲛⲉ ⲛϣⲁⲣⲉ ⲡⲟⲩⲁ ⲡⲟⲩⲁ ϫⲟⲟⲩ ⲙⲡⲉⲑⲓⲧⲟⲩⲱϥ ⲉⲩⲛⲁⲃⲱⲕ ⲉϣⲓⲛⲉ ⲙⲡⲛⲟⲩⲧⲉ ⲉⲩϫⲱ ⲙⲙⲟⲥ ϫⲉⲁⲙⲏⲉⲓⲧⲛ ⲙⲁⲣⲟⲛ ⲉⲣⲁⲧϥ ⲙⲡⲉⲧⲛⲁⲩ ⲉⲃⲟⲗ ϫⲉϫⲓⲛⲛϣⲟⲣⲡ ⲛⲉⲣⲉ ⲡⲗⲁⲟⲥ ⲙⲟⲩⲧⲉ ⲉⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ ϫⲉⲡⲉⲧⲛⲁⲩ ⲉⲃⲟⲗ,"Now before time in Israel every one in going to enquire of God said, Come and let us go to the seer; for the people beforetime called the prophet, the seer.",9
sahidic-old-testament,09_I Samuel_9,9,ⲁⲩⲱ ⲥⲁⲟⲩⲗ ⲡⲉϫⲁϥ ⲙⲡⲉϥϩⲙϩⲁⲗ ϫⲉⲛⲁⲛⲟⲩ ⲙϣⲁϫⲉ ⲛⲧⲁⲕϫⲟⲟϥ ⲁⲙⲟⲩ ⲙⲁⲣⲟⲛ ⲁⲩⲱ ⲁⲩⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲧⲡⲟⲗⲓⲥ ⲉⲡⲏⲓ ⲉⲧⲉⲣⲉⲡⲣⲱⲙⲉ ⲙⲡⲛⲟⲩⲧⲉ ⲛϩⲏⲧϥ,"And Saul said to his servant, Well said, come and let us go: and they went to the city where the man of God was.",10
