Coptic,English
ⲛⲧⲉⲣⲉϥⲟⲩⲱⲛ ⲇⲉ ⲛⲧⲙⲉϩϣⲟⲙⲧⲉ ⲛⲥⲫⲣⲁⲅⲓⲥ ⲁⲓⲥⲱⲧⲙ ⲉⲡⲙⲉϩϣⲟⲙⲛⲧ ⲛⲍⲱⲟⲛ ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉⲁⲙⲟⲩ . ⲁⲩⲱ ⲉⲓⲥ ⲟⲩϩⲧⲟ ⲛⲕⲁⲙⲏ ⲁⲩⲱ ⲡⲉⲧⲧⲁⲗⲏⲩ ⲉⲣⲟϥ ⲉⲟⲩⲛⲟⲩⲙⲁϣⲉ ϩⲛⲧⲉϥϭⲓϫ .,"when he opened the third seal, i heard the third living creature saying, 'come and see!' and behold, a black horse, and he who sat on it had a balance in his hand."
ⲉⲩⲙⲟⲕϩ ⲛϩⲏⲧ ⲉⲃⲟⲗ ϫⲉⲛⲉⲩϯⲥⲃⲱ ⲙⲡⲗⲁⲟⲥ . ⲁⲩⲱ ⲛⲉⲩⲧⲁϣⲉⲟⲉⲓϣ ϩⲛⲓⲏⲥⲟⲩⲥ ⲛⲧⲁⲛⲁⲥⲧⲁⲥⲓⲥ ⲛⲛⲉⲧⲙⲟⲟⲩⲧ .,being upset because they taught the people and proclaimed in jesus the resurrection from the dead.
ⲛⲧⲱⲧⲛ ⲇⲉ ⲛⲁⲙⲉⲣⲁⲧⲉ ⲛⲧⲉⲧⲛⲣ ϣⲣⲡ ⲥⲟⲟⲩⲛ ⲉϩⲁⲣⲉϩ ⲉⲣⲱⲧⲛ ϫⲉⲕⲁⲁⲥ ⲛⲛⲉⲩϫⲓ ⲧⲏⲩⲧⲛ ϩⲛⲧⲉⲩⲡⲗⲁⲛⲏ ⲛⲛⲁⲛⲟⲙⲟⲥ ⲛⲧⲉⲧⲛϩⲉ ⲉⲃⲟⲗ ϩⲙⲡⲉⲧⲉⲛⲧⲁϫⲣⲟ,"you therefore, beloved, knowing these things beforehand, beware, lest being carried away with the error of the wicked, you fall from your own steadfastness."
ⲁⲩⲱ ⲉⲛⲉ ⲙⲡϩⲟⲟⲩ ⲙⲙⲁⲧⲉ ⲡⲉ ⲛⲧⲁⲓϫⲟⲛⲧ ⲉϣⲓⲛⲉ ⲛⲁϥ ⲙⲡⲛⲟⲩⲧⲉ ⲙⲡⲉⲣϭⲱⲛⲧ ⲡⲣⲣⲟ ⲁⲩⲱ ⲙⲡⲉⲣⲧⲣⲉ ⲟⲩϣⲁϫⲉ ⲉⲓ ⲉⲃⲟⲗ ϩⲛⲣⲱϥ ⲙⲡⲣⲣⲟ ⲉϫⲙⲡⲉⲕϩⲙϩⲁⲗ ⲁⲩⲱ ⲡⲏⲓ ⲧⲏⲣϥ ⲙⲡⲁⲉⲓⲱⲧ ϫⲉⲡⲉⲕϩⲙϩⲁⲗ ⲉⲧⲉⲁⲛⲟⲕ ⲡⲉ ⲛϯⲥⲟⲟⲩⲛ ⲁⲛ ⲉϩⲱⲃ ⲛⲉⲓⲙⲓⲛⲉ ⲟⲩⲇⲉ ϫⲓⲛⲟⲩⲕⲟⲩⲓ ⲛϣⲁϫⲉ ϣⲁⲟⲩⲛⲟϭ,"have i begun to-day to enquire of god for him? by no means: let not the king bring a charge against his servant, and against thee whole of my father's house; for thy servant knew not in all these matters anything great or small."
ⲁⲩⲱ ⲁϥⲉⲓⲣⲉ ⲛϭⲓⲡϭⲙⲡϣⲓⲛⲉ ⲧⲏⲣϥ ⲛⲛϣⲏⲣⲉ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲙⲛⲧⲉⲩϭⲟⲙ ϫⲓⲛϫⲟⲩⲱⲧⲉ ⲛⲣⲟⲙⲡⲉ ⲉⲧⲡⲉ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲛⲏⲩ ⲉⲃⲟⲗ ⲉⲥⲣⲙⲗⲁϩ ⲉⲃⲟⲗ ϩⲣⲁⲓ ϩⲙⲡⲓⲥⲣⲁⲏⲗ,"and the whole numbering of the children of israel with their host from twenty years old and upward, every one that goes out to set himself in battle array in israel, came to"
ⲧⲉⲧⲛⲁⲛⲁⲩ ⲉⲩⲣⲣⲟ ⲙⲛⲟⲩⲉⲟⲟⲩ ⲁⲩⲱ ⲛⲉⲧⲛⲃⲁⲗ ⲛⲁⲛⲁⲩ ⲉⲩⲕⲁϩ ⲙⲡⲟⲩⲉ,ye shall see a king with glory: your eyes shall behold a land from afar.
ⲁⲥϣⲱⲡⲉ ⲇⲉ ⲟⲛ ⲛⲟⲩϩⲟⲟⲩ · ⲁⲡⲁϫⲟⲉⲓⲥ ⲛⲉⲓⲱⲧ ⲧⲛⲛⲟⲟⲩⲧ ⲛⲟⲩⲁⲡⲟⲕⲣⲏⲥⲓⲥ · ⲉⲛⲁⲛⲁⲅⲕⲁⲓⲟⲛ ⲉⲙⲙⲉⲣⲟⲥ ⲛϫⲏⲏⲙⲉ ·,"now it came to pass again on a certain day that my lord and father sent me on a message, which was urgent, to a certain district of djeme."
ⲁⲩⲱ ϥⲛⲁⲉⲓ ⲛϭⲓⲡϫⲟⲉⲓⲥ ⲡⲁⲛⲟⲩⲧⲉ ⲙⲛⲛⲉⲧⲟⲩⲁⲁⲃ ⲧⲏⲣⲟⲩ ⲛⲙⲙⲁϥ,"and the valley of my mountains shall be closed up, and the valley of the mountains shall be joined on to jasod, and shall be blocked up as it was blocked up in the days of the earthquake, in the days of ozias king of juda; and the lord my god shall come, and all the saints with him."
ⲁⲩⲱ ⲛⲣⲱⲙⲉ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲁⲩⲛⲁⲩ ϫⲉⲛⲥⲉⲛⲁⲉϣϭⲙϭⲟⲙ ⲁⲛ ⲉⲁϩⲉⲣⲁⲧⲟⲩ ⲉⲣⲟⲟⲩ ⲡⲗⲁⲟⲥ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲁⲩϩⲟⲡⲟⲩ ϩⲛⲙϩⲁⲁⲩ ⲁⲩⲱ ϩⲛⲛⲉⲃⲏⲃ ⲁⲩⲱ ϩⲛⲛⲉϩⲓⲉⲓⲧ ⲙⲛⲛⲉϣⲏⲓ,"and the men of israel saw that they were in a strait so that they could not draw nigh, and the people hid themselves in caves, and sheepfolds, and rocks, and ditches, and pits."
ⲡⲣⲣⲟ ⲇⲉ ⲁϥⲙⲟⲩⲧⲉ,"and the emperor called him, and asked him why he did not come into the temple of apollo, (saying), 'thou must pour out a libation to the gods in return for thy victory, and because thou hast returned from the war, and thou must offer up sacrifices of thanksgiving to them, especially as thou hast found thy wife and thy sons.'"
