Book Category,Book Name,Chapter,Verse,Translation,Number
coptic-saints-lifes,History of Eustathius and Theopiste part 1 ,2,ϥⲕⲏⲥ ϩⲣⲁⲓ ⲛⲛⲣⲱⲙⲉ ⲉⲧⲟⲩⲁⲁⲃ ⲛϭⲓⲟⲩⲙⲁ ⲛϫⲓⲥⲃⲱ,"There is implanted in a holy man the earnest desire to learn,",1
coptic-saints-lifes,History of Eustathius and Theopiste part 1 ,2,ⲉⲡⲁⲧⲉⲫⲩⲥⲓⲥ ⲡⲉ · ⲙⲛⲧⲉⲡⲣⲟϩⲁⲓⲣⲉⲥⲓⲥ ⲡⲉ ϩⲓⲟⲩⲥⲟⲡ ⲁⲡⲟⲩⲙⲉⲣⲟⲥ ·,"which is partly natural and partly voluntary, and these qualities are equally clearly distinguished.",2
coptic-saints-lifes,History of Eustathius and Theopiste part 1 ,2,ⲉϥⲕⲁⲧⲟⲣⲑⲟⲩ ⲛⲧⲁⲣⲉⲧⲏ · ⲁⲩⲱ ⲉϥⲟⲩⲱϣ ⲉⲧⲥⲁⲃⲉⲛⲉⲧϩⲓⲧⲟⲩⲱϥ ϩⲓⲧⲛⲛⲕⲟⲟⲩⲉ ⲛⲧⲁⲩϣⲱⲡⲉ ϫⲓⲛⲛϣⲟⲣⲡ · ⲛⲁⲓ ⲉⲧϣⲡϩⲙⲟⲧ ⲛⲧⲟⲟⲧϥ · ⲙⲡⲣϥⲣⲡⲉⲧⲛⲁⲛⲟⲩϥ ⲛⲁⲛ ⲧⲏⲣⲛ · ϫⲓⲛⲛϣⲟⲣⲡ ⲡⲉⲛⲛⲟⲩⲧⲉ ⲁⲩⲱ ⲡⲉⲛϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉⲭⲣⲓⲥⲧⲟⲥ ·,"The holy man setteth up virtue, and he wisheth to instruct his neighbours by the (examples of) others who have lived from the earliest times, and who have given thanks to Him that hath done good unto us all from the beginning, that is to say, to our God and our Lord Jesus the Christ,",3
coptic-saints-lifes,History of Eustathius and Theopiste part 1 ,2,ⲛⲁⲓ ⲉⲧϥϩⲱⲛ ⲙⲡⲁⲓⲧⲉⲓ ⲙⲙⲟⲛ ⲙⲙⲟⲟⲩ ⁛—,those whom He hath....................,4
coptic-saints-lifes,History of Eustathius and Theopiste part 1 ,2,ⲉⲓϣⲁϫⲉ ⲉⲙⲙⲛⲧⲣϥϣⲡϩⲙⲟⲧ ·,I mean that not all have given thanks.,5
coptic-saints-lifes,History of Eustathius and Theopiste part 1 ,2,ⲁⲛⲟⲛ ⲛⲉⲧⲉϥⲣⲡⲉⲧⲛⲁⲛ ⲙⲛⲡⲉⲛⲧⲁϩⲟ ⲉⲣⲁⲧϥ ϩⲁϩ ⲇⲉ,"We are those (unto whom) He doeth good. And there are very many admonitions (or, teachings), and acts of valiant and blessed men which have come down to us in the Holy Scriptures, which are like unto images that have souls in them, and which will make those who wish to follow them resemble [them] in their glorious integrity, and prevent them from becoming feeble in the performance of their mighty deeds.",6
coptic-saints-lifes,History of Eustathius and Theopiste part 1 ,3,ⲁⲛⲟⲕ ⲇⲉ ϩⲱ ⲛⲉⲧⲉⲓⲛⲁⲥϩⲁⲓⲥⲟⲩ,"The men about whom I shall now write to you are men who maintained their virtuous deeds in our own time, and who did not slacken in their integrity and valiant behavior.",1
coptic-saints-lifes,History of Eustathius and Theopiste part 1 ,4,ⲁⲥϣⲱⲡⲉ ⲇⲉ ϩⲛⲧⲙⲛⲧⲣⲣⲟ ⲛⲧⲣⲁⲓⲁⲛⲟⲥ ⲡⲣⲣⲟ ⲉⲧⲉⲣⲉⲧⲙⲛⲧⲣϥϣⲙϣⲉ ⲉⲓⲇⲱⲗⲟⲛ ⲥⲱⲧⲏⲣ ⲁϥϭⲙϭⲟⲙ ·,"And there was in the kingdom of the Emperor Trajan, wherein the worship of idols had spread and prevailed,",1
coptic-saints-lifes,History of Eustathius and Theopiste part 1 ,4,ⲛϭⲓⲟⲩⲥⲧⲣⲁϯⲗⲁⲧⲏⲥ ⲉⲡⲉϥⲣⲁⲛ ⲡⲉ ⲡⲗⲁⲕⲏⲧⲁⲥ · ⲉϥϩⲏⲛ ⲉϩⲟⲩⲛ ⲉⲡⲣⲣⲟ ⲉϥⲧⲁⲓⲏⲩ ⲇⲉ ⲉⲡⲉϩⲟⲩⲟ ϩⲙⲡⲉϥⲅⲉⲛⲟⲥ ⲕⲁⲧⲁⲡⲉⲓⲕⲟⲥⲙⲟⲥ · ⲁⲩⲱ ⲛⲉⲟⲩⲣⲙⲙⲁⲟ ⲉⲙⲁⲧⲉ ⲡⲉ ·,"a certain general whose name was Plaketas (Placidus) He was near of kin to the king, and he belonged to a very great and noble family, according to (the opinion) of this world, and he was exceedingly rich.",2
coptic-saints-lifes,History of Eustathius and Theopiste part 1 ,4,ⲉϥⲟⲩⲟⲧⲃ ⲉⲛⲛⲟϭ ⲧⲏⲣⲟⲩ ⲙⲡⲡⲁⲗⲗⲁϯⲟⲛ ϩⲛⲛⲉⲕⲧⲏⲥⲓⲥ ⲡⲛⲟⲩⲃ ⲙⲛⲡϩⲁⲧ ϩⲉⲛϩⲙϩⲁⲗ ⲉⲛⲁϣⲱⲟⲩ ⲙⲛⲡⲉⲕⲥⲉⲉⲡⲉ ⲛϩⲩⲡⲟⲥⲧⲁⲥⲓⲥ ·,"And he exceeded all the other nobles of the palace in his possessions, (in) gold, and (in) silver, and he had troops of slaves, and riches of all kinds in very great abundance;",3
