Coptic,English
ⲛⲧⲉⲣⲉϥⲟⲩⲱⲛ ⲇⲉ ⲛⲧⲙⲉϩϣⲟⲙⲧⲉ ⲛⲥⲫⲣⲁⲅⲓⲥ ⲁⲓⲥⲱⲧⲙ ⲉⲡⲙⲉϩϣⲟⲙⲛⲧ ⲛⲍⲱⲟⲛ ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉⲁⲙⲟⲩ . ⲁⲩⲱ ⲉⲓⲥ ⲟⲩϩⲧⲟ ⲛⲕⲁⲙⲏ ⲁⲩⲱ ⲡⲉⲧⲧⲁⲗⲏⲩ ⲉⲣⲟϥ ⲉⲟⲩⲛⲟⲩⲙⲁϣⲉ ϩⲛⲧⲉϥϭⲓϫ .,"When he opened the third seal, I heard the third living creature saying, 'Come and see!' And behold, a black horse, and he who sat on it had a balance in his hand."
ⲉⲩⲙⲟⲕϩ ⲛϩⲏⲧ ⲉⲃⲟⲗ ϫⲉⲛⲉⲩϯⲥⲃⲱ ⲙⲡⲗⲁⲟⲥ . ⲁⲩⲱ ⲛⲉⲩⲧⲁϣⲉⲟⲉⲓϣ ϩⲛⲓⲏⲥⲟⲩⲥ ⲛⲧⲁⲛⲁⲥⲧⲁⲥⲓⲥ ⲛⲛⲉⲧⲙⲟⲟⲩⲧ .,being upset because they taught the people and proclaimed in Jesus the resurrection from the dead.
ⲛⲧⲱⲧⲛ ⲇⲉ ⲛⲁⲙⲉⲣⲁⲧⲉ ⲛⲧⲉⲧⲛⲣ ϣⲣⲡ ⲥⲟⲟⲩⲛ ⲉϩⲁⲣⲉϩ ⲉⲣⲱⲧⲛ ϫⲉⲕⲁⲁⲥ ⲛⲛⲉⲩϫⲓ ⲧⲏⲩⲧⲛ ϩⲛⲧⲉⲩⲡⲗⲁⲛⲏ ⲛⲛⲁⲛⲟⲙⲟⲥ ⲛⲧⲉⲧⲛϩⲉ ⲉⲃⲟⲗ ϩⲙⲡⲉⲧⲉⲛⲧⲁϫⲣⲟ,"You therefore, beloved, knowing these things beforehand, beware, lest being carried away with the error of the wicked, you fall from your own steadfastness."
ⲁⲩⲱ ⲉⲛⲉ ⲙⲡϩⲟⲟⲩ ⲙⲙⲁⲧⲉ ⲡⲉ ⲛⲧⲁⲓϫⲟⲛⲧ ⲉϣⲓⲛⲉ ⲛⲁϥ ⲙⲡⲛⲟⲩⲧⲉ ⲙⲡⲉⲣϭⲱⲛⲧ ⲡⲣⲣⲟ ⲁⲩⲱ ⲙⲡⲉⲣⲧⲣⲉ ⲟⲩϣⲁϫⲉ ⲉⲓ ⲉⲃⲟⲗ ϩⲛⲣⲱϥ ⲙⲡⲣⲣⲟ ⲉϫⲙⲡⲉⲕϩⲙϩⲁⲗ ⲁⲩⲱ ⲡⲏⲓ ⲧⲏⲣϥ ⲙⲡⲁⲉⲓⲱⲧ ϫⲉⲡⲉⲕϩⲙϩⲁⲗ ⲉⲧⲉⲁⲛⲟⲕ ⲡⲉ ⲛϯⲥⲟⲟⲩⲛ ⲁⲛ ⲉϩⲱⲃ ⲛⲉⲓⲙⲓⲛⲉ ⲟⲩⲇⲉ ϫⲓⲛⲟⲩⲕⲟⲩⲓ ⲛϣⲁϫⲉ ϣⲁⲟⲩⲛⲟϭ,"Have I begun to-day to enquire of God for him? By no means: let not the king bring a charge against his servant, and against thee whole of my father's house; for thy servant knew not in all these matters anything great or small."
ⲁⲩⲱ ⲁϥⲉⲓⲣⲉ ⲛϭⲓⲡϭⲙⲡϣⲓⲛⲉ ⲧⲏⲣϥ ⲛⲛϣⲏⲣⲉ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲙⲛⲧⲉⲩϭⲟⲙ ϫⲓⲛϫⲟⲩⲱⲧⲉ ⲛⲣⲟⲙⲡⲉ ⲉⲧⲡⲉ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲛⲏⲩ ⲉⲃⲟⲗ ⲉⲥⲣⲙⲗⲁϩ ⲉⲃⲟⲗ ϩⲣⲁⲓ ϩⲙⲡⲓⲥⲣⲁⲏⲗ,"And the whole numbering of the children of Israel with their host from twenty years old and upward, every one that goes out to set himself in battle array in Israel, came to"
ⲧⲉⲧⲛⲁⲛⲁⲩ ⲉⲩⲣⲣⲟ ⲙⲛⲟⲩⲉⲟⲟⲩ ⲁⲩⲱ ⲛⲉⲧⲛⲃⲁⲗ ⲛⲁⲛⲁⲩ ⲉⲩⲕⲁϩ ⲙⲡⲟⲩⲉ,Ye shall see a king with glory: your eyes shall behold a land from afar.
ⲁⲥϣⲱⲡⲉ ⲇⲉ ⲟⲛ ⲛⲟⲩϩⲟⲟⲩ · ⲁⲡⲁϫⲟⲉⲓⲥ ⲛⲉⲓⲱⲧ ⲧⲛⲛⲟⲟⲩⲧ ⲛⲟⲩⲁⲡⲟⲕⲣⲏⲥⲓⲥ · ⲉⲛⲁⲛⲁⲅⲕⲁⲓⲟⲛ ⲉⲙⲙⲉⲣⲟⲥ ⲛϫⲏⲏⲙⲉ ·,"Now it came to pass again on a certain day that my lord and father sent me on a message, which was urgent, to a certain district of Djeme."
ⲁⲩⲱ ϥⲛⲁⲉⲓ ⲛϭⲓⲡϫⲟⲉⲓⲥ ⲡⲁⲛⲟⲩⲧⲉ ⲙⲛⲛⲉⲧⲟⲩⲁⲁⲃ ⲧⲏⲣⲟⲩ ⲛⲙⲙⲁϥ,"And the valley of my mountains shall be closed up, and the valley of the mountains shall be joined on to Jasod, and shall be blocked up as it was blocked up in the days of the earthquake, in the days of Ozias king of Juda; and the Lord my God shall come, and all the saints with him."
ⲁⲩⲱ ⲛⲣⲱⲙⲉ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲁⲩⲛⲁⲩ ϫⲉⲛⲥⲉⲛⲁⲉϣϭⲙϭⲟⲙ ⲁⲛ ⲉⲁϩⲉⲣⲁⲧⲟⲩ ⲉⲣⲟⲟⲩ ⲡⲗⲁⲟⲥ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲁⲩϩⲟⲡⲟⲩ ϩⲛⲙϩⲁⲁⲩ ⲁⲩⲱ ϩⲛⲛⲉⲃⲏⲃ ⲁⲩⲱ ϩⲛⲛⲉϩⲓⲉⲓⲧ ⲙⲛⲛⲉϣⲏⲓ,"And the men of Israel saw that they were in a strait so that they could not draw nigh, and the people hid themselves in caves, and sheepfolds, and rocks, and ditches, and pits."
ⲛⲧⲁϥⲣⲡⲁⲓ ⲇⲉ ⲛϭⲓⲡⲁⲉⲓⲱⲧ ϫⲉⲛⲛϥⲧⲥⲟϥ ⲛⲧⲟϥ ϩⲛⲛⲉϥϭⲓϫ ⲛⲧⲉⲛⲇⲁⲓⲙⲱⲛⲓⲟⲛ ⲉⲓ ⲉⲃⲟⲗ ϩⲛⲟⲩϭⲉⲡⲏ · ⲛⲧⲉⲛⲣⲱⲙⲉ ϣⲟⲩϣⲟⲩ ⲙⲙⲟⲟⲩ ⲉϫⲱϥ ϫⲉⲁⲁⲡⲁ ⲡⲉⲥⲩⲛⲑⲓⲟⲥ ⲛⲉϫⲡⲇⲁⲓⲙⲩⲱⲛⲓⲟⲛ ⲉⲃⲟⲗ ϩⲙⲡϣⲏⲣⲉ ⲛⲛⲓⲙ ⲛⲣⲱⲙⲉ · ⲉⲃⲟⲗ ϫⲉⲛⲉϥⲟⲩⲱϣ ⲁⲛ ⲉϫⲓⲉⲟⲟⲩ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛⲛⲣⲱⲙⲉ ·,"Now, my father acted in this way and did not himself give the youth the water to drink with his own hands, and so make the demon come out from him immediately, lest men should ascribe praise to him, and say, Apa Pisentius hath cast the demon out of the son of such and such a man, because he did not wish to receive glorifying from the children of men."
