Book Category,Book Name,Chapter,Verse,Translation,Number
sahidica-new-testament,47_2 Corinthians_2,2,ⲁⲓⲕⲣⲓⲛⲉ ⲅⲁⲣ ⲙⲡⲁⲓ ⲛⲁⲓ ⲉⲧⲙⲉⲓ ⲟⲛ ϣⲁⲣⲱⲧⲛ ϩⲛⲟⲩⲗⲩⲡⲏ .,"But I determined this for myself, that I would not come to you again in sorrow.",1
sahidica-new-testament,47_2 Corinthians_2,2,ⲉϣϫⲉ ⲁⲛⲟⲕ ⲅⲁⲣ ⲡⲉⲧⲛⲁⲗⲩⲡⲉⲓ ⲙⲙⲱⲧⲛ . ⲉⲓⲉ ⲛⲓⲙ ⲡⲉⲧⲛⲁⲉⲩⲫⲣⲁⲛⲉ ⲙⲙⲟⲓ ⲉⲓ ⲙⲏⲧⲓ ⲡⲉⲧⲛⲁⲗⲩⲡⲉⲓ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧ .,"For if I make you sorry, then who will make me glad but he who is made sorry by me?",2
sahidica-new-testament,47_2 Corinthians_2,2,ⲕⲁⲓⲅⲁⲣ ⲉⲛⲧⲁⲓⲥⲉϩ ⲡⲁⲓ ϫⲉⲕⲁⲁⲥ ⲉⲛⲛⲁⲉⲓ ⲧⲁⲗⲩⲡⲉⲓ ⲛⲧⲟⲟⲧⲟⲩ ⲛⲛⲉⲧⲉϣϣⲉ ⲉⲧⲣⲁⲣⲁϣⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ . ⲉⲓⲕⲱ ⲛϩⲧⲏⲓ ⲉⲣⲱⲧⲛ ⲧⲏⲣⲧⲛ ϫⲉⲡⲁⲣⲁϣⲉ ⲡⲱⲧⲛ ⲧⲏⲣⲧⲛ ⲡⲉ .,"And I wrote this very thing to you, so that, when I came, I wouldn't have sorrow from them of whom I ought to rejoice; having confidence in you all, that my joy would be shared by all of you.",3
sahidica-new-testament,47_2 Corinthians_2,2,ⲉⲃⲟⲗ ⲅⲁⲣ ϩⲛⲟⲩⲛⲟϭ ⲛⲑⲗⲓⲯⲓⲥ . ⲙⲛⲟⲩⲗⲱϫϩ ⲛϩⲏⲧ ⲁⲓⲥϩⲁⲓ ⲛⲏⲧⲛ ϩⲓⲧⲛϩⲁϩ ⲛⲣⲙⲉⲓⲏ ϫⲉⲕⲁⲁⲥ ⲁⲛ ⲉⲧⲉⲧⲛⲉⲗⲩⲡⲉⲓ . ⲁⲗⲗⲁ ϫⲉⲉⲧⲉⲧⲛⲉⲉⲓⲙⲉ ⲉⲧⲁⲅⲁⲡⲏ ⲉⲧⲉⲩⲛⲧⲁⲉⲓⲥ ⲛϩⲟⲩⲟ ⲉϩⲟⲩⲛ ⲉⲣⲱⲧⲛ .,"For out of much affliction and anguish of heart I wrote to you with many tears, not that you should be made sorry, but that you might know the love that I have so abundantly for you.",4
sahidica-new-testament,47_2 Corinthians_2,2,ⲉϣϫⲉ ⲁⲟⲩⲁ ⲇⲉ ⲗⲩⲡⲉⲓ ⲛⲧⲁϥⲗⲩⲡⲉⲓ ⲙⲙⲟⲓ ⲁⲛ . ⲁⲗⲗⲁ ⲁⲡⲟ ⲙⲉⲣⲟⲩⲥ . ϫⲉⲉⲛⲛⲁⲉⲡⲓⲃⲁⲣⲉⲓ ⲙⲙⲱⲧⲛ ⲧⲏⲣⲧⲛ .,"But if any has caused sorrow, he has caused sorrow, not to me, but in part (that I not press too heavily) to you all.",5
sahidica-new-testament,47_2 Corinthians_2,2,ⲧⲉⲓⲉⲡⲓⲧⲓⲙⲓⲁ ϭⲉ ⲣⲱϣⲉ ⲉⲡⲁⲓ ⲧⲉⲃⲟⲗ ϩⲓⲧⲙⲡⲉϩⲟⲩⲟ .,Sufficient to such a one is this punishment which was inflicted by the many;,6
sahidica-new-testament,47_2 Corinthians_2,2,ϩⲱⲥⲧⲉ ⲛⲧⲟϥ ⲛⲧⲉⲧⲛⲕⲱ ⲛⲁϥ ⲉⲃⲟⲗ . ⲁⲩⲱ ⲛⲧⲉⲧⲛⲥⲉⲡⲥⲱⲡϥ . ⲙⲏⲡⲟⲧⲉ ϩⲣⲁⲓ ϩⲙⲡϩⲟⲩⲉ ⲗⲩⲡⲉⲓ ⲛⲥⲉⲟⲩⲱⲙⲕ ⲙⲡⲁⲓ ⲛⲧⲉⲓⲙⲓⲛⲉ .,"so that on the contrary you should rather forgive him and comfort him, lest by any means such a one should be swallowed up with his excessive sorrow.",7
sahidica-new-testament,47_2 Corinthians_2,2,ⲉⲧⲃⲉⲡⲁⲓ ϯⲡⲁⲣⲁⲕⲁⲗⲉⲓ ⲙⲙⲱⲧⲛ ⲙⲁⲧⲁϫⲣⲟ ⲛⲟⲩⲁⲅⲁⲡⲏ ⲉϩⲟⲩⲛ ⲉⲣⲟϥ .,Therefore I beg you to confirm your love toward him.,8
sahidica-new-testament,47_2 Corinthians_2,2,ⲉⲧⲃⲉⲡⲁⲓ ⲅⲁⲣ ⲛⲧⲁⲓⲥϩⲁⲓ ⲛⲏⲧⲛ ϫⲉⲉⲓⲉⲉⲓⲙⲉ ⲉⲧⲉⲧⲛⲇⲟⲕⲓⲙⲏ ϫⲉⲛⲧⲉⲧⲛϩⲉⲛⲥⲧⲙⲏⲧ ϩⲛϩⲱⲃ ⲛⲓⲙ .,"For to this end I also wrote, that I might know the proof of you, whether you are obedient in all things.",9
sahidica-new-testament,47_2 Corinthians_2,2,ⲡⲉⲧⲉⲧⲛⲁⲕⲱ ⲇⲉ ⲛⲁϥ ⲉⲃⲟⲗ ϯⲕⲱ ϩⲱ . ⲕⲁⲓⲅⲁⲣ ⲁⲛⲟⲕ ⲛⲧⲁⲓⲕⲱ ⲉⲃⲟⲗ ⲙⲡⲉⲛⲧⲁⲓ ⲕⲁⲁϥ ⲉⲃⲟⲗ ⲉⲧⲃⲉⲧⲏⲩⲧⲛ ϩⲙⲡϩⲟ ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ .,"Now I also forgive whomever you forgive anything. For if indeed I have forgiven anything, I have forgiven that one for your sakes in the presence of Christ,",10
